1;213;245;254;20
2;174;235;253;40
3;136;225;251;60
4;108;213;250;80
5;89;175;213;100
6;76;151;177;120
7;60;118;140;140
8;43;85;100;160
9;32;62;74;180
10;255;255;255;200
11;247;247;247;400
12;215;230;253;220
13;176;205;252;240
14;132;179;252;260
15;90;152;250;280
16;55;120;250;300
17;49;105;209;320
18;38;83;165;340
19;28;61;120;360
20;20;43;86;380
21;205;200;252;420
22;153;139;250;440
23;101;79;249;460
24;64;50;230;480
25;54;38;175;500
26;39;31;144;520
27;32;25;116;540
28;21;18;82;560
29;16;13;61;580
30;228;228;228;600
31;224;200;252;620
32;194;144;251;640
33;165;87;249;660
34;142;57;239;680
35;116;45;184;700
36;92;37;154;720
37;73;29;121;740
38;53;21;88;760
39;37;15;63;780
40;203;203;203;800
41;238;210;226;820
42;224;162;197;840
43;210;112;166;860
44;199;62;135;880
45;159;49;105;900
46;132;41;89;920
47;104;32;71;940
48;75;24;51;960
49;54;15;36;980
50;175;175;175;1000
51;244;216;218;1020
52;235;175;176;1040
53;227;133;135;1060
54;219;87;88;1080
55;215;50;36;1100
56;187;25;7;1120
57;149;20;6;1140
58;107;14;4;1160
59;77;9;3;1180
60;144;144;144;1200
61;247;221;214;1220
62;241;187;171;1240
63;234;151;126;1260
64;229;115;76;1280
65;227;82;24;1300
66;190;61;15;1320
67;150;48;12;1340
68;107;34;8;1360
69;79;25;6;1380
70;113;113;113;1400
71;250;232;213;1420
72;245;207;169;1440
73;240;183;122;1460
74;236;159;74;1480
75;234;146;37;1500
76;193;111;28;1520
77;152;89;22;1540
78;110;64;16;1560
79;80;47;12;1580
80;82;82;82;1600
81;251;236;213;1620
82;247;218;170;1640
83;244;200;124;1660
84;241;182;77;1680
85;239;174;44;1700
86;196;137;34;1720
87;154;108;27;1740
88;111;77;19;1760
89;80;56;14;1780
90;54;54;54;1800
91;254;248;221;1820
92;254;243;187;1840
93;253;237;153;1860
94;253;231;117;1880
95;254;232;85;1900
96;242;212;53;1920
97;192;169;42;1940
98;138;120;30;1960
99;101;87;22;1980
100;29;29;29;2000
101;250;248;220;2020
102;247;243;185;2040
103;243;239;148;2060
104;239;232;111;2080
105;235;229;76;2100
106;208;200;55;2120
107;164;157;43;2140
108;118;114;31;2160
109;86;82;21;2180
110;9;9;9;2200
111;230;237;212;2220
112;218;232;182;2240
113;198;221;143;2260
114;181;210;103;2280
115;154;186;76;2300
116;130;155;64;2320
117;102;121;50;2340
118;74;88;36;2360
119;54;64;26;2380
120;0;0;0;2400
